Index C O Na Mg Si S Ca Ti Fe Ni 

0 0.0000 0.0000 0.0000 0.0000 0.5707 0.1251 0.0030 0.0000 0.1205 0.1807 
1 0.0000 0.0000 0.0000 0.0589 0.5279 0.2533 0.0029 0.0000 0.0000 0.1570 
2 0.0000 0.0000 0.0000 0.0974 0.5936 0.2671 0.0029 0.0000 0.0000 0.0390 
3 0.0000 0.0000 0.0000 0.0784 0.6158 0.2637 0.0029 0.0000 0.0000 0.0392 
4 0.0000 0.1608 0.0000 0.0000 0.5524 0.1923 0.0030 0.0000 0.0000 0.0915 
5 0.0000 0.8112 0.0000 0.0000 0.1192 0.0229 0.0040 0.0000 0.0000 0.0427 
6 0.0000 0.9129 0.0000 0.0000 0.0830 0.0000 0.0041 0.0000 0.0000 0.0000 
7 0.0000 0.9449 0.0000 0.0000 0.0510 0.0000 0.0041 0.0000 0.0000 0.0000 
8 0.2343 0.7616 0.0000 0.0000 0.0000 0.0000 0.0041 0.0000 0.0000 0.0000 
9 0.9939 0.0000 0.0000 0.0000 0.0000 0.0000 0.0061 0.0000 0.0000 0.0000 
10 0.9939 0.0000 0.0000 0.0000 0.0000 0.0000 0.0061 0.0000 0.0000 0.0000 
